Date,Total_Death_France,Daily_Death_France,Total_Death_India,Daily_Death_India
2020-01-22 00:00:00+00:00,0,0.0,0,0.0
2020-01-23 00:00:00+00:00,0,0.0,0,0.0
2020-01-24 00:00:00+00:00,0,0.0,0,0.0
2020-01-25 00:00:00+00:00,0,0.0,0,0.0
2020-01-26 00:00:00+00:00,0,0.0,0,0.0
2020-01-27 00:00:00+00:00,0,0.0,0,0.0
2020-01-28 00:00:00+00:00,0,0.0,0,0.0
2020-01-29 00:00:00+00:00,0,0.0,0,0.0
2020-01-30 00:00:00+00:00,0,0.0,0,0.0
2020-01-31 00:00:00+00:00,0,0.0,0,0.0
2020-02-01 00:00:00+00:00,0,0.0,0,0.0
2020-02-02 00:00:00+00:00,0,0.0,0,0.0
2020-02-03 00:00:00+00:00,0,0.0,0,0.0
2020-02-04 00:00:00+00:00,0,0.0,0,0.0
2020-02-05 00:00:00+00:00,0,0.0,0,0.0
2020-02-06 00:00:00+00:00,0,0.0,0,0.0
